
Id: 1/Name: BASIC Copy/Note: Internal/Boat: 1/Cycles: 1/Before Delay: 0h0m0s/Identifier: 0205084743646
1/CLOSE APERTURE/0/0
2/Linear/1000/0
3/OPEN APERTURE/0/0
4/Const/2000/0
5/CLOSE APERTURE/0/0
6/Linear/1000/0

Pressure: 1e-6 mbar


s 0
v1
c
l 000 000 1000
o
k 2000
c
l 000 000 1000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
12s*0
26 0 2 0 l*200*0
224 0 4 0 l*200*1
424 0 1 0 l*200*2
624 0 5 3 l*200*3
824 0 3 0 l*200*4
1023 0 2 0 l*200*last
1037 0 2 0 k*200*0
1234 0 5 1 k*200*1
1435 0 4 3 k*200*2
1636 0 3 0 k*200*3
1835 0 3 1 k*200*4
2035 0 4 0 k*200*5
2236 0 5 2 k*200*6
2437 0 3 0 k*200*7
2635 0 4 2 k*200*8
2835 0 3 0 k*200*9
3036 0 4 2 k*200*lastPoint
3049 0 6 1 l*200*0
3248 0 4 0 l*200*1
3448 0 5 1 l*200*2
3649 0 3 1 l*200*3
3849 0 3 1 l*200*4
4048 0 3 0 l*200*last
