
Id: 1/Name: BASIC Copy/Note: Internal/Boat: 1/Cycles: 1/Before Delay: 0h0m0s/Identifier: 0205084743646
1/CLOSE APERTURE/0/0
2/Linear/2000/0
3/OPEN APERTURE/0/0
4/Const/2000/0
5/CLOSE APERTURE/0/0
6/Linear/2000/0

Pressure:  mbar


s 0
v1
c
l 000 000 1000
o
k 2000
c
l 000 000 1000
s 0
v1
c
l 000 000 2000
o
k 2000
c
l 000 000 2000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
11s*0
25 0 4 2 l*200*0
222 0 3 0 l*200*1
422 0 1 0 l*200*2
622 0 5 2 l*200*3
822 0 4 0 l*200*4
1023 0 5 2 l*200*last
1035 0 3 3 k*200*0
1233 0 2 0 k*200*1
1433 0 4 0 k*200*2
1633 0 1 1 k*200*3
1834 0 6 3 k*200*4
2034 0 2 0 k*200*5
2233 0 5 2 k*200*6
2434 0 2 2 k*200*7
2635 0 6 0 k*200*8
2834 0 3 0 k*200*9
3034 0 4 0 k*200*lastPoint
3048 0 4 2 l*200*0
3246 0 3 2 l*200*1
3446 0 6 1 l*200*2
3645 0 3 0 l*200*3
3846 0 4 2 l*200*4
4046 0 4 2 l*200*last200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
20s*0
37 0 3 1 l*200*0
234 0 3 0 l*200*1
435 0 5 1 l*200*2
636 0 3 1 l*200*3
836 0 2 0 l*200*4
1036 0 4 0 l*200*last
1049 0 3 0 k*200*0
1246 0 3 0 k*200*1
1447 0 6 2 k*200*2
1647 0 3 0 k*200*3
1848 0 4 2 k*200*4
2048 0 2 0 k*200*5
2249 0 3 1 k*200*6
2448 0 1 0 k*200*7
2648 0 4 1 k*200*8
2849 0 4 3 k*200*9
3049 0 1 0 k*200*lastPoint
3063 0 3 0 l*200*0
3261 0 4 4 l*200*1
3462 0 3 0 l*200*2
3663 0 3 0 l*200*3
3863 0 5 3 l*200*4
4064 0 4 0 l*200*last
4076s*0
4091 0 4 3 l*200*0
4288 0 4 2 l*200*1
4489 0 3 0 l*200*2
4689 0 4 0 l*200*3
4888 0 1 0 l*200*4
5088 0 3 0 l*200*5
5289 0 5 3 l*200*6
5489 0 1 0 l*200*7
5690 0 1 0 l*200*8
5891 0 4 0 l*200*9
6092 0 3 1 l*200*last
6105 0 2 1 k*200*0
6303 0 3 0 k*200*1
6503 0 5 2 k*200*2
6703 0 1 0 k*200*3
6904 0 1 1 k*200*4
7104 0 3 2 k*200*5
7304 0 2 0 k*200*6
7505 0 2 0 k*200*7
7705 0 4 2 k*200*8
7906 0 6 3 k*200*9
8106 0 2 0 k*200*lastPoint
8121 0 2 0 l*200*0
8320 0 3 0 l*200*1
8521 0 1 0 l*200*2
8721 0 4 3 l*200*3
8922 0 4 1 l*200*4
9122 0 3 3 l*200*5
9321 0 5 2 l*200*6
9523 0 3 1 l*200*7
9724 0 4 0 l*200*8
9924 0 4 0 l*200*9
10125 0 5 4 l*200*last
