
Id: 1/Name: BASIC Copy/Note: Internal/Boat: 1/Cycles: 1/Before Delay: 0h0m5s/Identifier: 0205084743646
1/CLOSE APERTURE/0/0
2/Linear/2000/0
3/OPEN APERTURE/0/0
4/Const/2000/0
5/CLOSE APERTURE/0/0
6/Linear/2000/0

Pressure:  mbar


s 5000
v1
c
l 000 000 2000
o
k 2000
c
l 000 000 2000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
92s*5000
5107 0 5 2 l*200*0
5306 0 1 0 l*200*1
5505 0 7 2 l*200*2
5706 0 2 0 l*200*3
5906 0 1 1 l*200*4
6105 0 5 2 l*200*5
6306 0 3 3 l*200*6
6507 0 2 0 l*200*7
6707 0 2 3 l*200*8
6908 0 6 2 l*200*9
7108 0 4 2 l*200*last
7120 0 5 3 k*200*0
7318 0 2 0 k*200*1
7518 0 4 2 k*200*2
7718 0 3 3 k*200*3
7918 0 3 0 k*200*4
8118 0 1 0 k*200*5
8319 0 1 0 k*200*6
8519 0 2 0 k*200*7
8718 0 5 0 k*200*8
8918 0 6 0 k*200*9
9119 0 3 1 k*200*lastPoint
9132 0 2 0 l*200*0
9335 0 4 0 l*200*1
9532 0 0 0 l*200*2
9732 0 2 2 l*200*3
9932 0 7 2 l*200*4
10132 0 3 0 l*200*5
10331 0 3 0 l*200*6
10533 0 6 0 l*200*7
10734 0 6 1 l*200*8
10934 0 4 0 l*200*9
11135 0 4 1 l*200*last
