
Id: 1/Name: BASIC Copy/Note: Internal/Boat: 1/Cycles: 2/Before Delay: 0h0m5s/Identifier: 0205084743646
1/CLOSE APERTURE/0/0
2/Linear/2000/0
3/OPEN APERTURE/0/0
4/Const/2000/0
5/CLOSE APERTURE/0/0
6/Linear/2000/0
1/CLOSE APERTURE/0/0
2/Linear/2000/0
3/OPEN APERTURE/0/0
4/Const/2000/0
5/CLOSE APERTURE/0/0
6/Linear/2000/0

Pressure:  mbar


s 5000
v1
c
l 000 000 2000
o
k 2000
c
l 000 000 2000
c
l 000 000 2000
o
k 2000
c
l 000 000 2000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
11 s*5000
5024 0 1 0 l*200*0
5222 0 0 0 l*200*1
5422 0 0 0 l*200*2
5620 0 0 0 l*200*3
5820 0 0 0 l*200*4
6020 0 0 0 l*200*5
6219 0 0 0 l*200*6
6419 0 0 0 l*200*7
6619 0 0 0 l*200*8
6819 0 0 0 l*200*9
7020 0 0 0 l*200*last
7032 0 0 0 k*200*0
7231 0 0 0 k*200*1
7431 0 0 0 k*200*2
7631 0 0 0 k*200*3
7831 0 0 0 k*200*4
8032 0 0 0 k*200*5
8231 0 1 0 k*200*6
8432 0 0 0 k*200*7
8632 0 0 0 k*200*8
8832 0 0 0 k*200*9
9032 0 0 0 k*200*lastPoint
9045 0 0 0 l*200*0
9243 0 0 0 l*200*1
9444 0 0 0 l*200*2
9643 0 0 0 l*200*3
9844 0 0 0 l*200*4
10045 0 0 0 l*200*5
10245 0 0 0 l*200*6
10444 0 0 0 l*200*7
10644 0 0 0 l*200*8
10844 0 0 0 l*200*9
11043 0 0 0 l*200*last
11058 0 0 0 l*200*0
11255 0 0 0 l*200*1
11455 0 0 0 l*200*2
11655 0 0 0 l*200*3
11855 0 0 1 l*200*4
12056 0 0 0 l*200*5
12257 0 0 0 l*200*6
12457 0 0 0 l*200*7
12658 0 0 0 l*200*8
12859 0 0 0 l*200*9
13059 0 0 0 l*200*last
13073 0 0 0 k*200*0
13270 0 0 0 k*200*1
13470 0 0 0 k*200*2
13670 0 0 0 k*200*3
13871 0 0 0 k*200*4
14070 0 0 0 k*200*5
14271 0 0 0 k*200*6
14473 0 0 0 k*200*7
14672 0 0 0 k*200*8
14873 0 0 0 k*200*9
15073 0 0 0 k*200*lastPoint
15087 0 0 0 l*200*0
15285 0 0 0 l*200*1
15484 0 0 0 l*200*2
15684 0 0 0 l*200*3
15884 0 0 0 l*200*4
16083 0 0 0 l*200*5
16283 0 0 0 l*200*6
16484 0 0 0 l*200*7
16684 0 0 0 l*200*8
16885 0 0 0 l*200*9
17086 0 0 0 l*200*last
