
Id: 1/Name: BASIC/Note: Internal/Boat: 1/Cycles: 1/Before Delay: 0h0m0s/Identifier: 6
1/CLOSE APERTURE/0/0
2/Linear/5000/30
3/Const/5000/30
4/OPEN APERTURE/0/30
5/Const/30000/30
6/CLOSE APERTURE/0/30
7/Const/1000/30
8/Linear/5000/0

Pressure:  mbar


n
bemP
s 0
v1
c
l 000 076 5000
k 5000
o
k 30000
c
k 1000
l 076 000 5000
200 ms time steps

Time[ms] Arduino Boat1 Boat2 Info
90 s*0
104 0 0 0 l*200*0
300 3 0 0 l*200*1
501 6 0 0 l*200*2
701 9 0 0 l*200*3
900 12 0 0 l*200*4
1101 15 0 1 l*200*5
1302 18 0 0 l*200*6
1502 21 0 0 l*200*7
1703 24 0 0 l*200*8
1903 27 0 0 l*200*9
2103 30 0 0 l*200*10
2303 33 0 0 l*200*11
2503 36 0 0 l*200*12
2702 39 0 0 l*200*13
2902 42 0 0 l*200*14
3103 45 0 0 l*200*15
3304 48 0 0 l*200*16
3504 51 0 0 l*200*17
3705 54 0 0 l*200*18
3906 57 1 0 l*200*19
4105 60 0 0 l*200*20
4306 63 0 0 l*200*21
4506 66 0 0 l*200*22
4705 69 0 0 l*200*23
4905 72 1 0 l*200*24
5105 76 0 2 l*200*last
5194 76 0 0 k*200*0
5391 76 0 0 k*200*1
5591 76 1 0 k*200*2
5792 76 0 0 k*200*3
5992 76 0 0 k*200*4
6192 76 0 0 k*200*5
6392 76 0 2 k*200*6
6593 76 0 0 k*200*7
6792 76 0 0 k*200*8
6993 76 0 0 k*200*9
7193 76 0 0 k*200*10
7393 76 0 0 k*200*11
7593 76 0 0 k*200*12
7794 76 0 0 k*200*13
7993 76 0 0 k*200*14
8193 76 0 0 k*200*15
8393 76 1 0 k*200*16
8594 76 0 0 k*200*17
8793 76 0 0 k*200*18
8994 76 0 0 k*200*19
9194 76 0 0 k*200*20
9394 76 0 0 k*200*21
9594 76 0 0 k*200*22
9795 76 0 0 k*200*23
9994 76 0 0 k*200*24
10195 76 0 0 k*200*lastPoint
10287 76 0 0 k*200*0
10484 76 0 0 k*200*1
10685 76 0 0 k*200*2
10884 76 0 0 k*200*3
11085 76 0 0 k*200*4
11285 76 0 0 k*200*5
11485 76 0 0 k*200*6
11685 76 0 0 k*200*7
11886 76 0 0 k*200*8
12085 76 0 1 k*200*9
12286 76 0 0 k*200*10
12486 76 0 1 k*200*11
12686 76 0 0 k*200*12
12886 76 0 0 k*200*13
13087 FORCED STOP
