
Id: 1/Name: BASIC/Note: zkouska/Boat: 1/Cycles: 1/Before Delay: 0/Identifier: 2
1/CLOSE APERTURE/0/0
2/Linear/5000/10
3/Const/1000/10
4/OPEN APERTURE/0/10
5/Const/10000/10
6/CLOSE APERTURE/0/10
7/Const/1000/10
8/Linear/5000/0

Pressure:  mbar


v1
c
l 000 025 5000
k 1000
o
k 10000
c
k 1000
l 025 000 5000
100 ms time steps

Time[ms] PWM Iboat1[au] Iboat2[au] Info
13 0 4 0 l*100*0
109 0 5 1 l*100*1
209 1 5 1 l*100*2
309 1 3 0 l*100*3
410 2 5 2 l*100*4
510 2 4 0 l*100*5
611 3 6 1 l*100*6
710 3 2 3 l*100*7
810 4 5 2 l*100*8
911 4 4 1 l*100*9
1011 5 5 0 l*100*10
1111 5 4 0 l*100*11
1212 6 5 2 l*100*12
1312 6 5 2 l*100*13
1411 7 5 3 l*100*14
1513 7 4 0 l*100*15
1613 8 3 1 l*100*16
1713 8 4 0 l*100*17
1814 9 6 0 l*100*18
1914 9 6 3 l*100*19
2014 10 5 0 l*100*20
2115 10 4 0 l*100*21
2215 11 3 3 l*100*22
2315 11 5 1 l*100*23
2415 12 4 1 l*100*24
2515 12 4 0 l*100*25
2616 13 5 0 l*100*26
2715 13 5 4 l*100*27
2815 14 3 3 l*100*28
2916 14 4 2 l*100*29
3016 15 2 0 l*100*30
3116 15 45 2 l*100*31
3217 16 46 0 l*100*32
3317 16 36 0 l*100*33
3417 17 54 0 l*100*34
3518 17 58 2 l*100*35
3618 18 55 3 l*100*36
3718 18 66 1 l*100*37
3819 19 66 0 l*100*38
3919 19 78 3 l*100*39
4019 20 66 0 l*100*40
4120 20 65 1 l*100*41
4220 21 68 3 l*100*42
4320 21 81 3 l*100*43
4421 22 82 0 l*100*44
4521 22 84 0 l*100*45
4622 23 87 3 l*100*46
4722 23 87 1 l*100*47
4822 24 89 0 l*100*48
4923 24 96 0 l*100*49
5023 25 98 2 l*100*last
5035 25 97 0 k*100*0
5131 25 103 2 k*100*1
5232 25 103 2 k*100*2
5332 25 100 2 k*100*3
5432 25 98 0 k*100*4
5533 25 95 0 k*100*5
5632 25 96 0 k*100*6
5734 25 95 2 k*100*7
5833 25 100 2 k*100*8
5933 25 100 3 k*100*9
6035 25 93 0 k*100*last
6049 25 96 2 k*100*0
6145 25 96 0 k*100*1
6247 25 95 5 k*100*2
6346 25 94 1 k*100*3
6446 25 100 2 k*100*4
6548 25 97 2 k*100*5
6647 25 91 0 k*100*6
6748 25 95 2 k*100*7
6848 25 92 0 k*100*8
6949 25 95 0 k*100*9
7050 25 91 3 k*100*10
7150 25 95 3 k*100*11
7251 25 97 1 k*100*12
7350 25 93 2 k*100*13
7451 25 94 0 k*100*14
7551 25 94 1 k*100*15
7651 25 100 0 k*100*16
7752 25 95 0 k*100*17
7851 25 98 0 k*100*18
7953 25 95 3 k*100*19
8052 25 94 2 k*100*20
8152 25 98 1 k*100*21
8254 25 95 2 k*100*22
8353 25 93 1 k*100*23
8454 25 99 1 k*100*24
8554 25 97 2 k*100*25
8655 25 93 1 k*100*26
8755 25 94 3 k*100*27
8855 25 98 0 k*100*28
8956 25 94 2 k*100*29
9055 25 96 1 k*100*30
9157 25 97 0 k*100*31
9256 25 100 3 k*100*32
9358 25 98 0 k*100*33
9459 25 92 0 k*100*34
9558 25 99 1 k*100*35
9660 25 99 1 k*100*36
9759 25 96 0 k*100*37
9860 25 98 1 k*100*38
9961 25 91 2 k*100*39
10060 25 96 0 k*100*40
10161 25 98 0 k*100*41
10261 25 95 3 k*100*42
10362 25 97 2 k*100*43
10461 25 87 2 k*100*44
10563 25 94 0 k*100*45
10663 25 102 2 k*100*46
10762 25 102 2 k*100*47
10864 25 93 2 k*100*48
10963 25 96 1 k*100*49
11065 25 101 4 k*100*50
11165 25 98 0 k*100*51
11264 25 96 1 k*100*52
11366 25 97 4 k*100*53
11465 25 97 2 k*100*54
11565 25 94 0 k*100*55
11667 25 98 0 k*100*56
11766 25 96 0 k*100*57
11867 25 101 2 k*100*58
11968 25 97 2 k*100*59
12067 25 99 2 k*100*60
12168 25 100 0 k*100*61
12268 25 98 0 k*100*62
12369 25 97 0 k*100*63
12469 25 98 0 k*100*64
12569 25 100 2 k*100*65
12670 25 101 1 k*100*66
12769 25 99 2 k*100*67
12870 25 94 3 k*100*68
12969 25 94 1 k*100*69
13070 25 93 2 k*100*70
13171 25 94 2 k*100*71
13270 25 93 0 k*100*72
13372 25 96 1 k*100*73
13471 25 93 1 k*100*74
13572 25 94 2 k*100*75
13673 25 95 0 k*100*76
13773 25 95 1 k*100*77
13872 25 95 1 k*100*78
