Id:	1/Name:	BASIC/Note:	zkouska/Boat:	1/Cycles:	1/Before	Delay:	0/Identifier:	2
1/CLOSE	APERTURE/0/0							
2/Linear/5000/10								
3/Const/1000/10								
4/OPEN	APERTURE/0/10							
5/Const/10000/10								
6/CLOSE	APERTURE/0/10							
7/Const/1000/10								
8/Linear/5000/0								
Id:	2/Name:	BASIC/Note:	Internal/Boat:	2/Cycles:	1/Before	Delay:	0/Identifier:	2
1/CLOSE	APERTURE/0/0							
2/Linear/5000/10								
3/Const/1000/10								
4/OPEN	APERTURE/0/10							
5/Const/10000/10								
6/CLOSE	APERTURE/0/10							
7/Const/1000/10								
8/Linear/5000/0								
								
Pressure:	mbar							
								
								
v1								
c								
l	0	25	5000					
k	1000							
o								
k	10000							
c								
k	1000							
l	25	0	5000					
v2								
c								
l	0	25	5000					
k	1000							
o								
k	10000							
c								
k	1000							
l	25	0	5000					
100	ms	time	steps					
								
Time[ms]	PWM	Iboat1[au]	Iboat2[au]	Info				
13	0	4	2					
109	0	4	4					
209	1	5	2					
309	1	6	2					
410	2	2	0					
510	2	3	0					
611	3	4	2					
711	3	6	1					
811	4	5	1					
912	4	4	0					
1012	5	6	1					
1112	5	4	0					
1213	6	2	0					
1313	6	1	0					
1413	7	5	2					
1513	7	5	2					
1614	8	4	2					
1714	8	4	0					
1815	9	3	1					
1915	9	4	0					
2015	10	7	3					
2116	10	4	1					
2216	11	4	0					
2317	11	5	3					
2416	12	6	3					
2516	12	5	1					
2617	13	6	2					
2717	13	3	1					
2817	14	5	2					
2918	14	3	0					
3018	15	5	3					
3118	15	49	3					
3219	16	44	2					
3319	16	40	1					
3419	17	54	1					
3520	17	65	0					
3620	18	52	4					
3720	18	70	3					
3821	19	57	0					
3921	19	75	1					
4021	20	75	3					
4122	20	78	2					
4222	21	83	2					
4323	21	82	2					
4423	22	77	0					
4523	22	90	1					
4624	23	83	1					
4724	23	91	0					
4824	24	90	1					
4925	24	91	1					
5025	25	94	0					
5037	25	98	1					
5134	25	96	0					
5235	25	102	2					
5334	25	102	0					
5435	25	97	0					
5536	25	96	0					
5635	25	94	0					
5737	25	93	2					
5836	25	97	5					
5937	25	99	1					
6037	25	98	0					
6051	25	98	0					
6148	25	98	1					
6250	25	98	2					
6349	25	97	0					
6450	25	93	0					
6550	25	100	2					
6650	25	99	1					
6751	25	96	1					
6851	25	95	3					
6952	25	96	0					
7051	25	98	1					
7151	25	97	1					
7252	25	98	3					
7352	25	100	2					
7453	25	96	2					
7552	25	95	0					
7653	25	99	3					
7754	25	100	1					
7853	25	97	0					
7955	25	97	0					
8054	25	93	2					
8155	25	99	2					
8256	25	95	3					
8355	25	88	0					
8456	25	96	0					
8556	25	94	1					
8657	25	95	1					
8756	25	96	1					
8857	25	99	0					
8958	25	96	4					
9058	25	98	0					
9159	25	94	0					
9258	25	97	1					
9360	25	97	1					
9460	25	88	0					
9559	25	95	0					
9661	25	95	1					
9760	25	98	0					
9861	25	93	0					
9961	25	96	0					
10061	25	95	1					
10162	25	95	0					
10262	25	93	1					
10363	25	95	1					
10462	25	94	1					
10564	25	96	1					
10664	25	95	1					
10763	25	99	0					
10864	25	96	2					
10963	25	97	1					
11065	25	97	3					
11164	25	98	3					
11264	25	95	4					
11366	25	97	0					
11465	25	97	0					
11565	25	98	2					
11667	25	96	1					
11766	25	95	1					
11867	25	98	3					
11967	25	95	3					
12067	25	95	2					
12168	25	95	1					
12268	25	97	0					
12369	25	97	2					
12468	25	97	3					
12570	25	92	0					
12670	25	96	2					
12770	25	94	3					
12871	25	95	3					
12970	25	94	3					
13072	25	100	0					
13171	25	95	1					
13271	25	98	1					
13373	25	98	1					
13472	25	96	0					
13573	25	96	2					
13673	25	90	0					
13773	25	94	0					
13874	25	95	0					
13974	25	95	2					
14074	25	98	0					
14175	25	95	0					
14275	25	96	1					
14376	25	98	2					
14475	25	98	5					
14576	25	91	1					
14676	25	95	0					
14776	25	95	1					
14877	25	99	1					
14976	25	98	2					
15078	25	94	0					
15177	25	96	0					
15277	25	96	1					
15379	25	98	2					
15478	25	97	1					
15579	25	99	2					
15679	25	96	2					
15780	25	98	1					
15880	25	100	1					
15980	25	94	0					
16080	25	89	0					
16092	25	95	3					
16189	25	90	2					
16290	25	101	3					
16390	25	95	1					
16490	25	98	1					
16591	25	93	0					
16690	25	98	3					
16791	25	100	1					
16892	25	93	1					
16991	25	96	1					
17093	25	100	3					
17108	25	100	4					
17205	25	97	0					
17306	24	98	0					
17406	24	94	3					
17507	23	87	1					
17607	23	83	3					
17707	22	82	0					
17808	22	74	0					
17908	21	82	2					
18008	21	79	0					
18109	20	74	2					
18209	20	64	2					
18309	19	70	1					
18410	19	57	0					
18510	18	58	2					
18610	18	61	2					
18711	17	58	2					
18811	17	46	2					
18911	16	54	2					
19012	16	53	0					
19112	15	36	0					
19213	15	48	2					
19312	14	35	0					
19412	14	25	1					
19512	13	17	0					
19612	13	16	1					
19713	12	22	1					
19814	12	23	0					
19914	11	20	0					
20014	11	16	2					
20115	10	14	3					
20215	10	12	0					
20315	9	9	0					
20415	9	8	0					
20515	8	7	0					
20615	8	6	0					
20716	7	4	3					
20816	7	7	2					
20916	6	6	3					
21017	6	7	2					
21117	5	6	0					
21218	5	4	0					
21317	4	4	1					
21417	4	3	0					
21518	3	4	0					
21618	3	4	1					
21718	2	7	3					
21819	2	6	1					
21919	1	4	1					
22019	1	5	0					
22120	0	4	3					
22133	0	6	1					
22230	0	3	1					
22331	1	3	0					
22431	1	2	1					
22531	2	3	1					
22632	2	5	3					
22732	3	2	1					
22832	3	6	2					
22933	4	5	0					
23033	4	5	0					
23133	5	2	0					
23234	5	6	0					
23334	6	2	1					
23434	6	6	2					
23535	7	6	4					
23635	7	5	0					
23736	8	4	2					
23835	8	5	5					
23935	9	4	0					
24036	9	3	1					
24136	10	3	1					
24236	10	5	0					
24337	11	5	3					
24437	11	4	3					
24537	12	4	1					
24638	12	2	0					
24738	13	3	6					
24838	13	4	0					
24939	14	5	2					
25039	14	6	3					
25139	15	3	0					
25240	15	5	47					
25340	16	3	42					
25440	16	6	45					
25540	17	5	50					
25640	17	5	58					
25741	18	4	49					
25840	18	4	64					
25940	19	3	66					
26041	19	4	75					
26141	20	2	58					
26241	20	6	66					
26342	21	3	66					
26442	21	2	76					
26542	22	5	80					
26643	22	4	76					
26743	23	2	80					
26843	23	3	89					
26944	24	5	87					
27044	24	4	89					
27144	25	3	89					
27156	25	4	89					
27254	25	5	97					
27354	25	3	95					
27456	25	4	93					
27555	25	2	86					
27656	25	5	93					
27756	25	3	90					
27856	25	2	83					
27957	25	4	84					
28057	25	4	91					
28158	25	4	90					
28171	25	5	89					
28269	25	4	87					
28368	25	4	88					
28468	25	4	91					
28570	25	2	91					
28669	25	3	90					
28771	25	3	89					
28871	25	2	92					
28970	25	4	86					
29072	25	4	91					
29171	25	3	91					
29271	25	6	91					
29373	25	5	83					
29472	25	5	80					
29573	25	4	88					
29673	25	2	88					
29774	25	3	88					
29873	25	5	93					
29975	25	3	88					
30074	25	3	90					
30174	25	5	86					
30276	25	5	87					
30375	25	3	93					
30477	25	3	90					
30575	25	4	89					
30676	25	6	90					
30777	25	6	91					
30876	25	5	88					
30977	25	4	89					
31077	25	3	87					
31178	25	1	89					
31277	25	2	88					
31378	25	4	88					
31479	25	5	92					
31578	25	4	84					
31680	25	4	86					
31780	25	4	84					
31879	25	5	87					
31981	25	4	88					
32080	25	3	86					
32181	25	3	89					
32282	25	5	91					
32381	25	5	91					
32483	25	3	92					
32582	25	5	90					
32683	25	6	89					
32784	25	4	89					
32885	25	5	89					
32986	25	6	89					
33087	25	3	87					
33188	25	4	91					
33289	25	5	89					
33390	25	3	92					
33491	25	5	88					
33592	25	4	89					
33693	25	2	82					
33794	25	3	87					
33895	25	4	82					
33996	25	7	86					
34097	25	4	84					
34198	25	2	86					
34299	25	4	88					
34400	25	4	87					
34501	25	4	88					
34602	25	6	91					
34703	25	7	89					
34804	25	2	87					
34905	25	4	86					
35006	25	4	89					
35107	25	5	82					
35208	25	6	88					
35309	25	4	90					
35410	25	3	88					
35511	25	4	87					
35612	25	5	89					
35713	25	4	83					
35814	25	6	85					
35915	25	1	85					
36016	25	1	81					
36117	25	3	88					
36218	25	3	89					
36319	25	3	88					
36420	25	7	91					
36521	25	6	89					
36622	25	3	86					
36723	25	6	88					
36824	25	6	91					
36925	25	5	92					
37026	25	3	87					
37127	25	4	88					
37228	25	3	83					
37329	25	2	87					
37430	25	4	86					
37531	25	5	88					
37632	25	5	86					
37733	25	5	88					
37834	25	3	86					
37935	25	7	85					
38036	25	5	86					
38137	25	3	82					
38238	25	5	89					
38339	25	4	87					
38440	25	6	88					
38541	25	5	87					
38642	25	4	83					
38743	25	4	86					
38844	25	4	87					
38945	25	3	86					
39046	25	1	84					
39147	25	6	85					
39248	25	5	87					
39349	25	5	83					
39450	25	4	87					
39551	25	5	87					
39652	24	7	86					
39753	24	5	80					
39854	23	5	80					
39955	23	3	71					
40056	22	3	70					
40157	22	3	71					
40258	21	5	68					
40359	21	5	66					
40460	20	4	67					
40561	20	4	62					
40662	19	1	63					
40763	19	5	49					
40864	18	5	51					
40965	18	3	50					
41066	17	5	54					
41167	17	4	45					
41268	16	4	43					
41369	16	3	47					
41470	15	3	39					
41571	15	5	42					
41672	14	5	31					
41773	14	3	30					
41874	13	4	25					
41975	13	6	20					
42076	12	4	16					
42177	12	4	11					
42278	11	6	12					
42379	11	5	8					
42480	10	4	7					
42581	10	8	8					
42682	9	6	8					
42783	9	4	7					
42884	8	2	2					
42985	8	5	4					
43086	7	2	3					
43187	7	6	5					
43288	6	6	2					
43389	6	5	5					
43490	5	6	4					
43591	5	6	4					
43692	4	3	4					
43793	4	4	3					
43894	3	5	4					
43995	3	5	2					
44096	2	4	2					
44197	2	4	1					
44298	1	6	4					
44399	1	5	2					
44500	0	5	3					
